DATE,HOMETEAM,AWAYTEAM,FTHG,FTAG,FTTG,Result
1/21/2017,Milan,Napoli,1,2,3,0
1/22/2017,Atalanta,Sampdoria,1,0,1,1
1/22/2017,Bologna,Torino,2,0,2,1
1/22/2017,Empoli,Udinese,1,0,1,1
1/22/2017,Genoa,Crotone,2,2,4,0
1/22/2017,Juventus,Lazio,2,0,2,1
1/22/2017,Palermo,Inter,0,1,1,0
1/22/2017,Pescara,Sassuolo,1,3,4,0
1/22/2017,Roma,Cagliari,1,0,1,1
1/28/2017,Inter,Pescara,3,0,3,1
1/28/2017,Lazio,Chievo,0,1,1,0
1/29/2017,Cagliari,Bologna,1,1,2,0
1/29/2017,Crotone,Empoli,4,1,5,1
1/29/2017,Fiorentina,Genoa,3,3,6,0
1/29/2017,Napoli,Palermo,1,1,2,0
1/29/2017,Sampdoria,Roma,3,2,5,1
1/29/2017,Sassuolo,Juventus,0,2,2,0
1/29/2017,Torino,Atalanta,1,1,2,0
1/29/2017,Udinese,Milan,2,1,3,1
2/1/2017,Pescara,Fiorentina,1,2,3,0
2/4/2017,Bologna,Napoli,1,7,8,0
2/5/2017,Atalanta,Cagliari,2,0,2,1
2/5/2017,Chievo,Udinese,0,0,0,0
2/5/2017,Empoli,Torino,1,1,2,0
2/5/2017,Genoa,Sassuolo,0,1,1,0
2/5/2017,Juventus,Inter,1,0,1,1
2/5/2017,Milan,Sampdoria,0,1,1,0
2/5/2017,Palermo,Crotone,1,0,1,1
2/5/2017,Pescara,Lazio,2,6,8,0
2/7/2017,Roma,Fiorentina,4,0,4,1
2/8/2017,Bologna,Milan,0,1,1,0
2/8/2017,Crotone,Juventus,0,2,2,0
2/10/2017,Napoli,Genoa,2,0,2,1
2/11/2017,Fiorentina,Udinese,3,0,3,1
2/12/2017,Cagliari,Juventus,0,2,2,0
2/12/2017,Crotone,Roma,0,2,2,0
2/12/2017,Inter,Empoli,2,0,2,1
2/12/2017,Palermo,Atalanta,1,3,4,0
2/12/2017,Sampdoria,Bologna,3,1,4,1
2/12/2017,Sassuolo,Chievo,1,3,4,0
2/12/2017,Torino,Pescara,5,3,8,1
2/13/2017,Lazio,Milan,1,1,2,0
2/17/2017,Juventus,Palermo,4,1,5,1
2/18/2017,Atalanta,Crotone,1,0,1,1
2/18/2017,Empoli,Lazio,1,2,3,0
2/19/2017,Bologna,Inter,0,1,1,0
2/19/2017,Chievo,Napoli,1,3,4,0
2/19/2017,Milan,Fiorentina,2,1,3,1
2/19/2017,Pescara,Genoa,5,0,5,1
2/19/2017,Roma,Torino,4,1,5,1
2/19/2017,Sampdoria,Cagliari,1,1,2,0
2/19/2017,Udinese,Sassuolo,1,2,3,0
2/25/2017,Juventus,Empoli,2,0,2,1
2/25/2017,Napoli,Atalanta,0,2,2,0
2/26/2017,Chievo,Pescara,2,0,2,1
2/26/2017,Crotone,Cagliari,1,2,3,0
2/26/2017,Genoa,Bologna,1,1,2,0
2/26/2017,Inter,Roma,1,3,4,0
2/26/2017,Lazio,Udinese,1,0,1,1
2/26/2017,Palermo,Sampdoria,1,1,2,0
2/26/2017,Sassuolo,Milan,0,1,1,0
2/27/2017,Fiorentina,Torino,2,2,4,0
3/4/2017,Milan,Chievo,3,1,4,1
3/4/2017,Roma,Napoli,1,2,3,0
3/4/2017,Sampdoria,Pescara,3,1,4,1
3/5/2017,Atalanta,Fiorentina,0,0,0,0
3/5/2017,Bologna,Lazio,0,2,2,0
3/5/2017,Cagliari,Inter,1,5,6,0
3/5/2017,Crotone,Sassuolo,0,0,0,0
3/5/2017,Empoli,Genoa,0,2,2,0
3/5/2017,Torino,Palermo,3,1,4,1
3/5/2017,Udinese,Juventus,1,1,2,0
3/10/2017,Juventus,Milan,2,1,3,1
3/11/2017,Genoa,Sampdoria,0,1,1,0
3/12/2017,Chievo,Empoli,4,0,4,1
3/12/2017,Fiorentina,Cagliari,1,0,1,1
3/12/2017,Inter,Atalanta,7,1,8,1
3/12/2017,Napoli,Crotone,3,0,3,1
3/12/2017,Palermo,Roma,0,3,3,0
3/12/2017,Pescara,Udinese,1,3,4,0
3/12/2017,Sassuolo,Bologna,0,1,1,0
3/13/2017,Lazio,Torino,3,1,4,1
3/18/2017,Milan,Genoa,1,0,1,1
3/18/2017,Torino,Inter,2,2,4,0
3/19/2017,Atalanta,Pescara,3,0,3,1
3/19/2017,Bologna,Chievo,4,1,5,1
3/19/2017,Cagliari,Lazio,0,0,0,0
3/19/2017,Crotone,Fiorentina,0,1,1,0
3/19/2017,Empoli,Napoli,2,3,5,0
3/19/2017,Roma,Sassuolo,3,1,4,1
3/19/2017,Sampdoria,Juventus,0,1,1,0
3/19/2017,Udinese,Palermo,4,1,5,1
4/1/2017,Roma,Empoli,2,0,2,1
4/1/2017,Sassuolo,Lazio,1,2,3,0
4/2/2017,Chievo,Crotone,1,2,3,0
4/2/2017,Fiorentina,Bologna,1,0,1,1
4/2/2017,Genoa,Atalanta,0,5,5,0
4/2/2017,Napoli,Juventus,1,1,2,0
4/2/2017,Palermo,Cagliari,1,3,4,0
4/2/2017,Pescara,Milan,1,1,2,0
4/2/2017,Torino,Udinese,2,2,4,0
4/3/2017,Inter,Sampdoria,1,2,3,0
4/8/2017,Atalanta,Sassuolo,1,1,2,0
4/8/2017,Empoli,Pescara,1,1,2,0
4/8/2017,Juventus,Chievo,2,0,2,1
4/9/2017,Bologna,Roma,0,3,3,0
4/9/2017,Cagliari,Torino,2,3,5,0
4/9/2017,Crotone,Inter,2,1,3,1
4/9/2017,Lazio,Napoli,0,3,3,0
4/9/2017,Milan,Palermo,4,0,4,1
4/9/2017,Sampdoria,Fiorentina,2,2,4,0
4/9/2017,Udinese,Genoa,3,0,3,1
4/15/2017,Cagliari,Chievo,4,0,4,1
4/15/2017,Fiorentina,Empoli,1,2,3,0
4/15/2017,Genoa,Lazio,2,2,4,0
